lon,lat,count,fagus,tsuga,bio1.0,bio12.0,bio2.0,bio4.0,bio7.0,bio15.0,albx,alby
-95.7,43.3,1,0,0,-0.828771362,-1.251040075,0.6417715,1.355806774,1.432200197,1.713372598,19958,654056
-95.7,44.3,3,0,0,-0.92513836,-1.508760679,0.498354596,1.513739139,1.601163334,1.582199141,19668,765345
-95.7,44.8,8,0,0,-0.973475139,-1.49432499,0.548570582,1.568445461,1.634390381,1.107933656,19524,820906
-95.7,45.3,9,0,0,-1.066508305,-1.47798972,0.267761092,1.653725163,1.636114469,1.315684459,19379,876403
-95.7,45.8,18,0,0,-1.222378716,-1.365724545,0.08207938,1.72217261,1.634689678,1.636265655,19235,931832
-95.7,46.3,25,0,0,-1.372796369,-1.417230924,0.26862183,1.722096132,1.725557793,1.840228747,19091,987186
-95.7,46.8,69,0,0,-1.467178887,-1.50609792,0.444605322,1.734329932,1.818206687,2.137530562,18947,1042459
-95.7,47.3,81,0,0,-1.515298055,-1.570077143,0.590024081,1.845858471,2.009898108,2.16762902,18803,1097645
-95.7,47.8,24,0,0,-1.560924312,-1.600184433,0.773910174,1.966748268,2.218021723,1.991508666,18660,1152737
-95.2,36.3,32,0,0,0.953485708,0.328648901,0.372793326,-0.278384838,-0.175502809,-0.058970659,66531,-127742
-95.2,36.8,3,0,0,0.791655995,0.221228651,0.622120247,-0.139734742,0.022283781,0.093020565,66091,-71861
-95.2,37.3,13,0,0,0.651471225,0.148215949,0.61166952,0.020868936,0.173471636,0.3072308,65651,-15966
-95.2,37.8,18,0,0,0.550884131,0.060266572,0.588940062,0.189452925,0.30575038,0.520513188,65211,39938
-95.2,38.3,25,0,0,0.495942998,0.072196347,0.617205516,0.240920042,0.326917147,0.674899243,64771,95848
-95.2,38.8,32,0,0,0.502264397,-0.053760809,0.281264457,0.264458514,0.273347861,0.815703939,64330,151759
-95.2,39.3,19,0,0,0.353649145,-0.152090539,-0.121498872,0.341871267,0.278350885,0.956557225,63890,207667
-95.2,39.8,20,0,0,0.229027217,-0.362286124,0.257831921,0.50465376,0.518632745,1.130639067,63450,263568
-95.2,40.3,10,0,0,0.019747139,-0.56213621,0.393677736,0.685041428,0.715610647,1.198852033,63010,319456
-95.2,40.8,6,0,0,-0.195047021,-0.63763156,0.52826568,0.855317158,0.945831435,1.366061327,62570,375328
-95.2,41.3,7,0,0,-0.300038274,-0.777858466,0.289563338,0.937072896,0.96869061,1.381266085,62130,431178
